Unnamed: 0,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,title,journal,publication_date,labels,x_coord,y_coord
912,33885335,Bilateral angle-closure during hospitalization for coronavirus disease-19 (COVID-19): A case report,"Barosco G, Morbio R, Chemello F, Tosi R, Marchini G.",Eur J Ophthalmol. 2021 Apr 22:11206721211012197. doi: 10.1177/11206721211012197. Online ahead of print.,Barosco G,Eur J Ophthalmol,2021,Bilateral angle-closure during hospitalization for coronavirus disease-19 (COVID-19): A case report.,European journal of ophthalmology,4/23/2021,Not Assigned,6.1849523,2.993005
558,33935221,The pathology of the brain and the eye in SARS-Co-V2 infected patients: A review,"Champion SN, Williams IM, Lage MM, Stagner AM.",J Neuroophthalmol. 2021 Apr 24. doi: 10.1097/WNO.0000000000001275. Online ahead of print.,Champion SN,J Neuroophthalmol,2021,The pathology of the brain and the eye in SARS-Co-V2 infected patients: A review.,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,5/4/2021,Not Assigned,6.206761,2.9922237
28,33973912,An Eye on COVID-19: A Meta-analysis of Positive Conjunctival Reverse Transcriptase-Polymerase Chain Reaction and SARS-CoV-2 Conjunctivitis Prevalence,"Sopp NM, Sharda V.",Optom Vis Sci. 2021 May 7. doi: 10.1097/OPX.0000000000001687. Online ahead of print.,Sopp NM,Optom Vis Sci,2021,An Eye on COVID-19: A Meta-analysis of Positive Conjunctival Reverse Transcriptase-Polymerase Chain Reaction and SARS-CoV-2 Conjunctivitis Prevalence.,Optometry and vision science : official publication of the American Academy of Optometry,5/12/2021,Not Assigned,6.280883,2.9920135
5972,32826650,Immunohistochemical Study of SARS-CoV-2 Viral Entry Factors in the Cornea and Ocular Surface,"Roehrich H, Yuan C, Hou JH.",Cornea. 2020 Dec;39(12):1556-1562. doi: 10.1097/ICO.0000000000002509.,Roehrich H,Cornea,2020,Immunohistochemical Study of SARS-CoV-2 Viral Entry Factors in the Cornea and Ocular Surface.,Cornea,8/23/2020,Not Assigned,6.2503967,2.9900417
3268,33499675,Covid-19 and acute conjunctivitis: Controversial data from a tertiary refferral Italian center,"D'Amico Ricci G, Del Turco C, Belcastro E, Palisi M, Romano MR, Pinna A, Panico C, La Spina C.",Eur J Ophthalmol. 2021 Jan 26:1120672121991049. doi: 10.1177/1120672121991049. Online ahead of print.,D'Amico Ricci G,Eur J Ophthalmol,2021,Covid-19 and acute conjunctivitis: Controversial data from a tertiary refferral Italian center.,European journal of ophthalmology,1/28/2021,Not Assigned,6.1942945,2.987224
559,33935220,"""Afferent and Efferent Neuro-Ophthalmic Complications of Coronavirus Disease 19""","Tisdale AK, Dinkin M, Chwalisz BK.",J Neuroophthalmol. 2021 Apr 24. doi: 10.1097/WNO.0000000000001276. Online ahead of print.,Tisdale AK,J Neuroophthalmol,2021,"""Afferent and Efferent Neuro-Ophthalmic Complications of Coronavirus Disease 19"".",Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,5/4/2021,Not Assigned,6.1919074,2.9862254
2400,33657878,COVID-19 in the light of current clinical eye research,Al-Namaeh M.,Eur J Ophthalmol. 2021 Mar 3:1120672121998911. doi: 10.1177/1120672121998911. Online ahead of print.,Al-Namaeh M,Eur J Ophthalmol,2021,COVID-19 in the light of current clinical eye research.,European journal of ophthalmology,3/5/2021,Not Assigned,6.1929665,2.985354
5284,33007190,COVID-19: the novel coronavirus disease and its manifestations and management in ophthalmology,"Sun S, Su W, Lin CQ, Li X, Yan H, Tian B, Lin H.",Discov Med. 2020 May-Jun;29(158):145-157.,Sun S,Discov Med,2020,COVID-19: the novel coronavirus disease and its manifestations and management in ophthalmology.,Discovery medicine,10/3/2020,Not Assigned,6.190753,2.984168
3669,33395587,The Effect of Delay in Care Among Patients Requiring Intravitreal Injections,"Song W, Singh RP, Rachitskaya AV.",Ophthalmol Retina. 2021 Jan 1:S2468-6530(20)30507-8. doi: 10.1016/j.oret.2020.12.020. Online ahead of print.,Song W,Ophthalmol Retina,2021,The Effect of Delay in Care Among Patients Requiring Intravitreal Injections.,Ophthalmology. Retina,1/5/2021,Not Assigned,6.074894,2.9834669
7048,32450718,Ophthalmology and SARS-CoV-2: Blind toward those who fight blindness?,"Arrigo A, Aragona E, Parodi MB, Loperfido F, Bandello F.",Eur J Ophthalmol. 2020 Sep;30(5):1185-1187. doi: 10.1177/1120672120929961. Epub 2020 May 26.,Arrigo A,Eur J Ophthalmol,2020,Ophthalmology and SARS-CoV-2: Blind toward those who fight blindness?,European journal of ophthalmology,5/27/2020,Not Assigned,6.1996245,2.9826288
6230,32740062,Ophthalmic manifestations of coronavirus disease 2019 and ocular side effects of investigational pharmacologic agents,"Olson DJ, Ghosh A, Zhang AY.",Curr Opin Ophthalmol. 2020 Sep;31(5):403-415. doi: 10.1097/ICU.0000000000000682.,Olson DJ,Curr Opin Ophthalmol,2020,Ophthalmic manifestations of coronavirus disease 2019 and ocular side effects of investigational pharmacologic agents.,Current opinion in ophthalmology,8/3/2020,Not Assigned,6.186977,2.98258
5127,33060413,Ocular Surface and Conjunctival Cytology Findings in Patients With Confirmed COVID-19,"Bozkurt E, Özateş S, Muhafız E, Yılmaz F, Calıskan O.",Eye Contact Lens. 2021 Apr 1;47(4):168-173. doi: 10.1097/ICL.0000000000000752.,Bozkurt E,Eye Contact Lens,2021,Ocular Surface and Conjunctival Cytology Findings in Patients With Confirmed COVID-19.,Eye & contact lens,10/17/2020,Not Assigned,6.1940956,2.9819384
6229,32740064,Eye banking in the coronavirus disease 2019 era,"Ballouz D, Mian SI.",Curr Opin Ophthalmol. 2020 Sep;31(5):389-395. doi: 10.1097/ICU.0000000000000684.,Ballouz D,Curr Opin Ophthalmol,2020,Eye banking in the coronavirus disease 2019 era.,Current opinion in ophthalmology,8/3/2020,Not Assigned,6.1788025,2.9812324
4429,33238727,Ocular oncology service during the COVID-19 outbreak in Florence (Italy): Practical considerations for the management of patients,"Mazzini C, Pieretti G, Vicini G, Nicolosi C, Giattini D, Calamita R, Santoro N, Giansanti F.",Eur J Ophthalmol. 2020 Nov 25:1120672120976031. doi: 10.1177/1120672120976031. Online ahead of print.,Mazzini C,Eur J Ophthalmol,2020,Ocular oncology service during the COVID-19 outbreak in Florence (Italy): Practical considerations for the management of patients.,European journal of ophthalmology,11/27/2020,Not Assigned,6.1521277,2.9810953
2590,33631983,Impact of Covid-19 pandemic on Ophthalmic Emergency Department in an Italian tertiary eye centre,"Franzolin E, Casati S, Albertini O, Antonelli G, Marchetti P, Bonora A, Marchini G.",Eur J Ophthalmol. 2021 Feb 25:1120672121998223. doi: 10.1177/1120672121998223. Online ahead of print.,Franzolin E,Eur J Ophthalmol,2021,Impact of Covid-19 pandemic on Ophthalmic Emergency Department in an Italian tertiary eye centre.,European journal of ophthalmology,2/27/2021,Not Assigned,6.12139,2.979956
1085,33863263,Treatment of neovascular age related macular degeneration during COVID-19 pandemic: The short term consequences of unintended lapses,"Sekeroglu MA, Kilinc Hekimsoy H, Horozoglu Ceran T, Doguizi S.",Eur J Ophthalmol. 2021 Apr 16:11206721211010613. doi: 10.1177/11206721211010613. Online ahead of print.,Sekeroglu MA,Eur J Ophthalmol,2021,Treatment of neovascular age related macular degeneration during COVID-19 pandemic: The short term consequences of unintended lapses.,European journal of ophthalmology,4/18/2021,Not Assigned,6.119308,2.978817
5277,33009081,Neuro-ophthalmic manifestations of coronavirus disease 19,"Tisdale AK, Chwalisz BK.",Curr Opin Ophthalmol. 2020 Nov;31(6):489-494. doi: 10.1097/ICU.0000000000000707.,Tisdale AK,Curr Opin Ophthalmol,2020,Neuro-ophthalmic manifestations of coronavirus disease 19.,Current opinion in ophthalmology,10/4/2020,Not Assigned,6.206955,2.9785535
3038,33557602,Ophthalmology-focused publications and findings on COVID-19: A systematic review,"Jin YP, Trope GE, El-Defrawy S, Liu EY, Buys YM.",Eur J Ophthalmol. 2021 Feb 8:1120672121992949. doi: 10.1177/1120672121992949. Online ahead of print.,Jin YP,Eur J Ophthalmol,2021,Ophthalmology-focused publications and findings on COVID-19: A systematic review.,European journal of ophthalmology,2/10/2021,Not Assigned,6.1797547,2.9779415
5433,32967465,Intravitreal injections during COVID-19 outbreak: Real-world experience from an Italian tertiary referral center,"Carnevali A, Giannaccare G, Gatti V, Scuteri G, Randazzo G, Scorcia V.",Eur J Ophthalmol. 2021 Jan;31(1):10-12. doi: 10.1177/1120672120962032. Epub 2020 Sep 24.,Carnevali A,Eur J Ophthalmol,2021,Intravitreal injections during COVID-19 outbreak: Real-world experience from an Italian tertiary referral center.,European journal of ophthalmology,9/25/2020,Not Assigned,6.122079,2.9774766
5432,32967466,Early impact of COVID-19 outbreak on eye care: Insights from EUROCOVCAT group,"Toro MD, Brézin AP, Burdon M, Cummings AB, Evren Kemer O, Malyugin BE, Prieto I, Teus MA, Tognetto D, Törnblom R, Posarelli C, Chorągiewicz T, Rejdak R.",Eur J Ophthalmol. 2021 Jan;31(1):5-9. doi: 10.1177/1120672120960339. Epub 2020 Sep 24.,Toro MD,Eur J Ophthalmol,2021,Early impact of COVID-19 outbreak on eye care: Insights from EUROCOVCAT group.,European journal of ophthalmology,9/25/2020,Not Assigned,6.193668,2.975226
5166,33044373,Dematiaceous Fungal Colonization of the Bandage Contact Lens in a Patient Lost to Follow-up During the COVID-19 Crisis,"Srirampur A, Mansoori T, Kola P, Kalwad A, Reddy AK.",Eye Contact Lens. 2020 Nov;46(6):e66-e68. doi: 10.1097/ICL.0000000000000751.,Srirampur A,Eye Contact Lens,2020,Dematiaceous Fungal Colonization of the Bandage Contact Lens in a Patient Lost to Follow-up During the COVID-19 Crisis.,Eye & contact lens,10/13/2020,Not Assigned,6.153787,2.9734085
6384,32687204,Management of Pediatric Ophthalmology Patients During the COVID-19 Outbreak: Experience From an Italian Tertiary Eye Center,"Vagge A, Ferro Desideri L, Iester M, Del Noce C, Catti C, Musolino M, Traverso CE.",J Pediatr Ophthalmol Strabismus. 2020 Jul 1;57(4):213-216. doi: 10.3928/01913913-20200513-01.,Vagge A,J Pediatr Ophthalmol Strabismus,2020,Management of Pediatric Ophthalmology Patients During the COVID-19 Outbreak: Experience From an Italian Tertiary Eye Center.,Journal of pediatric ophthalmology and strabismus,7/21/2020,Not Assigned,6.1743937,2.973405
6074,32796445,IMPACT OF CORONAVIRUS DISEASE PANDEMIC ON INTRAVITREAL INJECTIONS TREATMENT FOR MACULAR DISEASES: Report From a Referral Hospital in Milan,"Viola F, Milella P, Pozzo Giuffrida F, Ganci S, Invernizzi A.",Retina. 2021 Apr 1;41(4):701-705. doi: 10.1097/IAE.0000000000002941.,Viola F,Retina,2021,IMPACT OF CORONAVIRUS DISEASE PANDEMIC ON INTRAVITREAL INJECTIONS TREATMENT FOR MACULAR DISEASES: Report From a Referral Hospital in Milan.,"Retina (Philadelphia, Pa.)",8/17/2020,Not Assigned,6.1145205,2.9715922
5276,33009087,History through the eyes of a pandemic,"Graversen VK, Hamichi SE, Gold A, Murray TG.",Curr Opin Ophthalmol. 2020 Nov;31(6):538-548. doi: 10.1097/ICU.0000000000000711.,Graversen VK,Curr Opin Ophthalmol,2020,History through the eyes of a pandemic.,Current opinion in ophthalmology,10/4/2020,Not Assigned,6.1736794,2.9701812
1702,33775164,Corneal transplantation during the COVID-19 pandemic: An operational guide,"Franch A, Fasolo A, Carraro P, Favarato M, Birattari F, Leon PE, Ponzin D.",Eur J Ophthalmol. 2021 Mar 27:11206721211006565. doi: 10.1177/11206721211006565. Online ahead of print.,Franch A,Eur J Ophthalmol,2021,Corneal transplantation during the COVID-19 pandemic: An operational guide.,European journal of ophthalmology,3/30/2021,Not Assigned,6.0824547,2.9684224
300,33958531,Endophthalmitis after intravitreal injections during the COVID-19 pandemic with implementation of universal masking,"Naguib MM, Ghauri S, Mukhopadhyay A, Schefler AC.",Retina. 2021 Apr 23. doi: 10.1097/IAE.0000000000003193. Online ahead of print.,Naguib MM,Retina,2021,Endophthalmitis after intravitreal injections during the COVID-19 pandemic with implementation of universal masking.,"Retina (Philadelphia, Pa.)",5/8/2021,Not Assigned,6.097132,2.9683244
4523,33214412,Ocular Surface Impairment After Coronavirus Disease 2019: A Cohort Study,"Gambini G, Savastano MC, Savastano A, De Vico U, Crincoli E, Cozzupoli GM, Culiersi C, Rizzo S.",Cornea. 2021 Apr;40(4):477-483. doi: 10.1097/ICO.0000000000002643.,Gambini G,Cornea,2021,Ocular Surface Impairment After Coronavirus Disease 2019: A Cohort Study.,Cornea,11/21/2020,Not Assigned,6.150254,2.9662352
2099,33724078,Effect of COVID-19-related lockdown on ophthalmic practice in Italy: A report from 39 institutional centers,"dell'Omo R, Filippelli M, Virgili G, Bandello F, Querques G, Lanzetta P, Avitabile T, Viola F, Reibaldi M, Semeraro F, Quaranta L, Rizzo S, Midena E, Campagna G, Costagliola C; Eyecare in Italy during COVID-19 pandemic (EICO) study group.",Eur J Ophthalmol. 2021 Mar 16:11206721211002442. doi: 10.1177/11206721211002442. Online ahead of print.,dell'Omo R,Eur J Ophthalmol,2021,Effect of COVID-19-related lockdown on ophthalmic practice in Italy: A report from 39 institutional centers.,European journal of ophthalmology,3/17/2021,Not Assigned,6.108595,2.96595
3296,33492032,Tonic Pupil Following COVID 19,"Gopal M, Ambika S, Padmalakshmi K.",J Neuroophthalmol. 2021 Jan 20. doi: 10.1097/WNO.0000000000001221. Online ahead of print.,Gopal M,J Neuroophthalmol,2021,Tonic Pupil Following COVID 19.,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,1/26/2021,Not Assigned,6.2339125,2.964487
5016,33090234,Acute Acquired Concomitant Esotropia From Excessive Application of Near Vision During the COVID-19 Lockdown,"Vagge A, Giannaccare G, Scarinci F, Cacciamani A, Pellegrini M, Bernabei F, Scorcia V, Traverso CE, Bruzzichessi D.",J Pediatr Ophthalmol Strabismus. 2020 Oct 20;57:e88-e91. doi: 10.3928/01913913-20200828-01.,Vagge A,J Pediatr Ophthalmol Strabismus,2020,Acute Acquired Concomitant Esotropia From Excessive Application of Near Vision During the COVID-19 Lockdown.,Journal of pediatric ophthalmology and strabismus,10/23/2020,Not Assigned,6.1279926,2.9631493
5225,33023326,"TriPla Regimen: A new treatment approach for patients with neovascular age-related macular degeneration in the COVID-19 ""era""","Sacconi R, Borrelli E, Vella G, Querques L, Prascina F, Zucchiatti I, Bandello F, Querques G.",Eur J Ophthalmol. 2020 Oct 7:1120672120963448. doi: 10.1177/1120672120963448. Online ahead of print.,Sacconi R,Eur J Ophthalmol,2020,"TriPla Regimen: A new treatment approach for patients with neovascular age-related macular degeneration in the COVID-19 ""era"".",European journal of ophthalmology,10/8/2020,Not Assigned,6.1318593,2.9630709
4099,33315725,Glaucoma care during the coronavirus disease 2019 pandemic,"Vinod K, Sidoti PA.",Curr Opin Ophthalmol. 2021 Mar 1;32(2):75-82. doi: 10.1097/ICU.0000000000000730.,Vinod K,Curr Opin Ophthalmol,2021,Glaucoma care during the coronavirus disease 2019 pandemic.,Current opinion in ophthalmology,12/15/2020,Not Assigned,6.1174417,2.9605546
2156,33719624,Optic nerve and macular optical coherence tomography in recovered COVID-19 patients,"Burgos-Blasco B, Güemes-Villahoz N, Vidal-Villegas B, Martinez-de-la-Casa JM, Donate-Lopez J, Martín-Sánchez FJ, González-Armengol JJ, Porta-Etessam J, Martin JLR, Garcia-Feijoo J.",Eur J Ophthalmol. 2021 Mar 15:11206721211001019. doi: 10.1177/11206721211001019. Online ahead of print.,Burgos-Blasco B,Eur J Ophthalmol,2021,Optic nerve and macular optical coherence tomography in recovered COVID-19 patients.,European journal of ophthalmology,3/16/2021,Not Assigned,6.1169896,2.960092
4071,33320049,"Teleophthalmology-Enabled Direct Vitreoretinal Surgery Listing from Community Optometric Practice: Enhanced Efficiency During Coronavirus Disease 2019, and Beyond?","Ghazala FR, Dall'Ozzo S, McGowan G, Livingstone IAT.",Telemed J E Health. 2020 Dec 14. doi: 10.1089/tmj.2020.0361. Online ahead of print.,Ghazala FR,Telemed J E Health,2020,"Teleophthalmology-Enabled Direct Vitreoretinal Surgery Listing from Community Optometric Practice: Enhanced Efficiency During Coronavirus Disease 2019, and Beyond?",Telemedicine journal and e-health : the official journal of the American Telemedicine Association,12/16/2020,Not Assigned,6.088525,2.9561498
2155,33719638,Impact of COVID-19 on keratoconus patients waiting for corneal cross linking,"Shah H, Pagano L, Vakharia A, Coco G, Gadhvi KA, Kaye SB, Romano V.",Eur J Ophthalmol. 2021 Mar 15:11206721211001315. doi: 10.1177/11206721211001315. Online ahead of print.,Shah H,Eur J Ophthalmol,2021,Impact of COVID-19 on keratoconus patients waiting for corneal cross linking.,European journal of ophthalmology,3/16/2021,Not Assigned,6.1004643,2.9553173
2962,33573420,The impact of COVID-19 on primary retinopexy in preventing retinal detachment in a tertiary eye hospital emergency department,"Moussa G, Samia-Aly E, Andreatta W, Lett KS, Mitra A, Sharma A, Tyagi AK, Ch'ng SW.",Eur J Ophthalmol. 2021 Feb 11:1120672121994727. doi: 10.1177/1120672121994727. Online ahead of print.,Moussa G,Eur J Ophthalmol,2021,The impact of COVID-19 on primary retinopexy in preventing retinal detachment in a tertiary eye hospital emergency department.,European journal of ophthalmology,2/13/2021,Not Assigned,6.081102,2.9508884
4542,33213181,Rebubbling of detached descemet membrane endothelial grafts at the slit lamp with 50% air fill after PI-less DMEK during COVID-19 era,"Franka M, Mistry M, Moustafa M, Erikitola OO, Lyall D.",Eur J Ophthalmol. 2020 Nov 19:1120672120972017. doi: 10.1177/1120672120972017. Online ahead of print.,Franka M,Eur J Ophthalmol,2020,Rebubbling of detached descemet membrane endothelial grafts at the slit lamp with 50% air fill after PI-less DMEK during COVID-19 era.,European journal of ophthalmology,11/21/2020,Not Assigned,6.0963535,2.9494157
4540,33213198,Impact of COVID-19 pandemic and lockdown on eye emergencies,"Poyser A, Deol SS, Osman L, Kuht HJ, Sivagnanasithiyar T, Manrique R, Okafor LO, DeSilva I, Sharpe D, Savant V, Sarodia U, Sarvananthan N, Chaudhuri R, Banerjee S, Burns J, Thomas MG.",Eur J Ophthalmol. 2020 Nov 19:1120672120974944. doi: 10.1177/1120672120974944. Online ahead of print.,Poyser A,Eur J Ophthalmol,2020,Impact of COVID-19 pandemic and lockdown on eye emergencies.,European journal of ophthalmology,11/21/2020,Not Assigned,6.1154904,2.9483876
1367,33829895,What can visual caregivers expect with patients treated for SARS-CoV-2? An analysis of ongoing clinical trials and ocular side effects,"Fambuena-Muedra I, Jiménez-García M, Hershko S, Altemir-Gómez I, Tobarra-López A.",Eur J Ophthalmol. 2020 Oct 8:1120672120958323. doi: 10.1177/1120672120958323. Online ahead of print.,Fambuena-Muedra I,Eur J Ophthalmol,2020,What can visual caregivers expect with patients treated for SARS-CoV-2? An analysis of ongoing clinical trials and ocular side effects.,European journal of ophthalmology,4/9/2021,Not Assigned,6.213837,2.947357
6226,32740067,"Real-world vitreoretinal practice patterns during the 2020 COVID-19 pandemic: a nationwide, aggregated health record analysis","Xu D, Starr MR, Boucher N, Chiang A, Yonekawa Y, Klufas MA, Khan MA, Cohen MN, Mehta S, Kuriyan AE.",Curr Opin Ophthalmol. 2020 Sep;31(5):427-434. doi: 10.1097/ICU.0000000000000692.,Xu D,Curr Opin Ophthalmol,2020,"Real-world vitreoretinal practice patterns during the 2020 COVID-19 pandemic: a nationwide, aggregated health record analysis.",Current opinion in ophthalmology,8/3/2020,Not Assigned,6.065385,2.9423487
4871,33124972,Pediatric Eye Care: We Cannot Lose Sight of Its Importance despite the COVID-19 Pandemic,"Camhi SS, Shah K, Cavuoto KM.",J Binocul Vis Ocul Motil. 2020 Oct-Dec;70(4):147-149. doi: 10.1080/2576117X.2020.1830677. Epub 2020 Oct 30.,Camhi SS,J Binocul Vis Ocul Motil,2020,Pediatric Eye Care: We Cannot Lose Sight of Its Importance despite the COVID-19 Pandemic.,Journal of binocular vision and ocular motility,10/31/2020,Not Assigned,6.0901756,2.9370682
4471,33229967,The return of phacoemulsification after emergency status related to COVID-19: the experience of a tertiary referral center,"Vieira R, Baptista P, Castro C, Leite J, Menéres MJ, Menéres P.",J Cataract Refract Surg. 2020 Nov 30. doi: 10.1097/j.jcrs.0000000000000526. Online ahead of print.,Vieira R,J Cataract Refract Surg,2020,The return of phacoemulsification after emergency status related to COVID-19: the experience of a tertiary referral center.,Journal of cataract and refractive surgery,11/25/2020,Not Assigned,6.0615296,2.933684
5480,32947412,Eye Banking: One Cornea for Multiple Recipients,"Gadhvi KA, Coco G, Pagano L, Kaye SB, Ferrari S, Levis HJ, Parekh M, Romano V.",Cornea. 2020 Dec;39(12):1599-1603. doi: 10.1097/ICO.0000000000002476.,Gadhvi KA,Cornea,2020,Eye Banking: One Cornea for Multiple Recipients.,Cornea,9/19/2020,Not Assigned,6.070205,2.9335153
2761,33610833,Patterns and Characteristics of a Real-World Implementation of a Self-Monitoring Program for Retina Diseases during COVID-19 Pandemic,"Chong Teo KY, Bachmann LM, Sim D, Yen LS, Tan A, Wong TY, Gemmy Cheung CM, Wei Tan GS.",Ophthalmol Retina. 2021 Feb 18:S2468-6530(21)00055-5. doi: 10.1016/j.oret.2021.02.005. Online ahead of print.,Chong Teo KY,Ophthalmol Retina,2021,Patterns and Characteristics of a Real-World Implementation of a Self-Monitoring Program for Retina Diseases during COVID-19 Pandemic.,Ophthalmology. Retina,2/22/2021,Not Assigned,6.05019,2.9273407
4211,33293300,COVID-19 and the eye,"Yordi S, Ehlers JP.",Cleve Clin J Med. 2020 Dec 8. doi: 10.3949/ccjm.87a.ccc068. Online ahead of print.,Yordi S,Cleve Clin J Med,2020,COVID-19 and the eye.,Cleveland Clinic journal of medicine,12/10/2020,Not Assigned,6.142237,2.9258976
6368,32694270,Teleophthalmology: an essential tool in the era of the novel coronavirus 2019,"Kalavar M, Hua HU, Sridhar J.",Curr Opin Ophthalmol. 2020 Sep;31(5):366-373. doi: 10.1097/ICU.0000000000000689.,Kalavar M,Curr Opin Ophthalmol,2020,Teleophthalmology: an essential tool in the era of the novel coronavirus 2019.,Current opinion in ophthalmology,7/23/2020,Not Assigned,6.0422816,2.9108608
6228,32740065,Ocular trauma during COVID-19 stay-at-home orders: a comparative cohort study,"Wu C, Patel SN, Jenkins TL, Obeid A, Ho AC, Yonekawa Y.",Curr Opin Ophthalmol. 2020 Sep;31(5):423-426. doi: 10.1097/ICU.0000000000000687.,Wu C,Curr Opin Ophthalmol,2020,Ocular trauma during COVID-19 stay-at-home orders: a comparative cohort study.,Current opinion in ophthalmology,8/3/2020,Not Assigned,6.0881453,2.9106395
