PMID,Title,publication_date
33973213,COVID-19 and Its Impact on Tourism Industry,5/12/2021
33973212,Reopening Schools After a Novel Coronavirus Surge,5/12/2021
33973211,A Shift in Medical Education During the COVID-19 Pandemic,5/12/2021
33973210,Treatment of Patients with Mental Illness Amid A Global COVID-19 Pandemic,5/12/2021
33973209,Mental Health in Health Professionals in the COVID-19 Pandemic,5/12/2021
33973208,Potential Mechanisms of COVID-19-Related Psychological Problems and Mental Disorders,5/12/2021
33973207,The Main Sources and Potential Effects of COVID-19-Related Discrimination,5/12/2021
33973206,Exploration of the Epidemiological and Emotional Impact of Quarantine and Isolation During the COVID-19 Pandemic,5/12/2021
33973205,COVID-19 Amid Rumors and Conspiracy Theories: The Interplay Between Local and Global Worlds,5/12/2021
33973204,Challenges of Cellular Therapy During the COVID-19 Pandemic,5/12/2021
33973203,The Implications of COVID-19 to Ophthalmology,5/12/2021
33973202,Impact of COVID-19 on Dentistry,5/12/2021
33973201,Pharmacist's Role and Pharmaceutical Care During the COVID-19 Pandemic,5/12/2021
33973200,"Prevention of COVID-19: Preventive Strategies for General Population, Healthcare Setting, and Various Professions",5/12/2021
33973199,The COVID-19 Vaccine Landscape,5/12/2021
33973198,Photobiomodulation and Antiviral Photodynamic Therapy in COVID-19 Management,5/12/2021
33973197,Dietary Supplements for COVID-19,5/12/2021
33973196,Nutrition and Immunity in COVID-19,5/12/2021
33973195,Ventilatory Support in Patients with COVID-19,5/12/2021
33973194,Immune-Based Therapy for COVID-19,5/12/2021
33973193,Therapeutic Development in COVID-19,5/12/2021
33973192,The Role of Medical Imaging in COVID-19,5/12/2021
33973191,Diagnostic Tests for COVID-19,5/12/2021
33973190,"Clinical and Laboratory Predictors of Severity, Criticality, and Mortality in COVID-19: A Multisystem Disease",5/12/2021
33973189,Autoimmune Processes Involved in Organ System Failure Following Infection with SARS-CoV-2,5/12/2021
33973188,Neurologic Manifestations of COVID-19,5/12/2021
33973187,COVID-19 and Tropical Infection: Complexity and Concurrence,5/12/2021
33973186,COVID-19 in Patients with Cancer,5/12/2021
33973185,How Prevalent Is Cancer in Confirmed Cases with Coronaviruses and Severe Acute Respiratory Syndromes?,5/12/2021
33973184,COVID-19 and Cardiovascular Diseases,5/12/2021
33973183,COVID-19 in Patients with Hypertension,5/12/2021
33973182,"Coronavirus Diseases in Pregnant Women, the Placenta, Fetus, and Neonate",5/12/2021
33973181,Geriatrics and COVID-19,5/12/2021
33973180,Pediatrics and COVID-19,5/12/2021
33973179,Clinical Manifestations of COVID-19,5/12/2021
33973178,COVID-19 and Cell Stress,5/12/2021
33973177,Potential Antiviral Immune Response Against COVID-19: Lessons Learned from SARS-CoV,5/12/2021
33973176,"How COVID-19 Has Globalized: Unknown Origin, Rapid Transmission, and the Immune System Nourishment",5/12/2021
33973175,Genetic Polymorphisms in the Host and COVID-19 Infection,5/12/2021
33973174,Coronavirus: Pure Infectious Disease or Genetic Predisposition,5/12/2021
33973173,The Incubation Period of COVID-19: Current Understanding and Modeling Technique,5/12/2021
33973172,The Epidemiologic Aspects of COVID-19 Outbreak: Spreading Beyond Expectations,5/12/2021
33973171,Ecology and Evolution of Betacoronaviruses,5/12/2021
33973170,Coronaviruses: What Should We Know About the Characteristics of Viruses?,5/12/2021
33973169,Introduction on Coronavirus Disease (COVID-19) Pandemic: The Global Challenge,5/12/2021
33973161,The impact of a barrier enclosure on time to tracheal intubation: a randomized controlled trial,5/12/2021
33973000,Trends over time in the risk of adverse outcomes among patients with SARS-CoV-2 infection,5/12/2021
33972994,"SARS-CoV-2 infectivity by viral load, S gene variants and demographic factors and the utility of lateral flow devices to prevent transmission",5/12/2021
33972955,Disordered eating and self-harm as risk factors for poorer mental health during the COVID-19 pandemic: A population-based cohort study,5/12/2021
33972954,The Physiologic Response to COVID-19 Vaccination,5/12/2021
33972953,Passive and active immunity in infants born to mothers with SARS-CoV-2 infection during pregnancy: Prospective cohort study,5/12/2021
33972952,"A hemagglutination-based, semi-quantitative test for point-of-care determination of SARS-CoV-2 antibody levels",5/12/2021
33972951,Male-Female Disparities in Years of Potential Life Lost Attributable to COVID-19 in the United States: A State-by-State Analysis,5/12/2021
33972950,Comprehensive mapping of neutralizing antibodies against SARS-CoV-2 variants induced by natural infection or vaccination,5/12/2021
33972949,LENZILUMAB EFFICACY AND SAFETY IN NEWLY HOSPITALIZED COVID-19 SUBJECTS: RESULTS FROM THE LIVE-AIR PHASE 3 RANDOMIZED DOUBLE-BLIND PLACEBO-CONTROLLED TRIAL,5/12/2021
33972948,Lipid-Modulating Agents for Prevention or Treatment of COVID-19 in Randomized Trials,5/12/2021
33972947,LY-CoV1404 potently neutralizes SARS-CoV-2 variants,5/12/2021
33972946,ORAI1 establishes resistance to SARS-CoV-2 infection by regulating tonic type I interferon signaling,5/12/2021
33972945,SARS-CoV-2 B.1.1.7 and B.1.351 variants of concern induce lethal disease in K18-hACE2 transgenic mice despite convalescent plasma therapy,5/12/2021
33972944,A novel highly potent inhibitor of TMPRSS2-like proteases blocks SARS-CoV-2 variants of concern and is broadly protective against infection and mortality in mice,5/12/2021
33972943,Signaling through FcγRIIA and the C5a-C5aR pathway mediates platelet hyperactivation in COVID-19,5/12/2021
33972942,SARS -CoV-2 T-cell immunity to variants of concern following vaccination,5/12/2021
33972941,The temperature-dependent conformational ensemble of SARS-CoV-2 main protease (M (pro) ),5/12/2021
33972940,Protective heterologous T cell immunity in COVID-19 induced by MMR and Tdap vaccine antigens,5/12/2021
33972939,Mouse Adapted SARS-CoV-2 protects animals from lethal SARS-CoV challenge,5/12/2021
33972938,CCR2-dependent monocyte-derived cells restrict SARS-CoV-2 infection,5/12/2021
33972937,Convergent antibody responses to the SARS-CoV-2 spike protein in convalescent and vaccinated individuals,5/12/2021
33972936,Impaired T-cell and antibody immunity after COVID-19 infection in chronically immunosuppressed transplant recipients,5/12/2021
33972927,Accelerating SARS-CoV-2 low frequency variant calling on ultra deep sequencing datasets,5/12/2021
33972903,Early Tracheostomy in Morbidly Obese COVID-19 Patients: A Case Series and Discussion of Institutional Practices,5/12/2021
33972898,SARS-CoV-2 and Portal Vein Thrombosis: A Rare Gastrointestinal Manifestation of COVID-19,5/12/2021
33972891,Utilizing Alternative Testing Technology for Human Immunodeficiency Virus (HIV) in the COVID era,5/12/2021
33972823,Is There a Place for Responsible Artificial Intelligence in Pandemics? A Tale of Two Countries,5/12/2021
33972819,India's outburst of online classes during COVID-19 impacts the mental health of students,5/12/2021
33972804,"Knowledge, attitude, and prevention practice towards Covid-19 in Ethiopia: systematic review and Meta-analysis",5/12/2021
33972793,"SARS-CoV-2 escaped natural immunity, raising questions about vaccines and therapies",5/12/2021
33972780,Ultrafast Sample placement on Existing tRees (UShER) enables real-time phylogenetics for the SARS-CoV-2 pandemic,5/12/2021
33972496,"A Review of the Global Impact of the COVID-19 Pandemic on Public Mental Health, with a Comparison Between the USA, Australia, and Poland with Taiwan and Thailand",5/12/2021
33972456,THE YEAR IN REVIEW: MECHANICAL VENTILATION DURING THE FIRST YEAR OF THE COVID-19 PANDEMIC,5/12/2021
33972455,Estimating the false positive rate of highly automated SARS-CoV-2 nucleic acid amplification testing,5/12/2021
33972454,Endemic SARS-CoV-2 polymorphisms can cause a higher diagnostic target failure rate than estimated by aggregate global sequencing data,5/12/2021
33972448,Alcohol narrows physical distance between strangers,5/12/2021
33972413,"Reply to Cheng et al.: COVID-19 induces lower extent of cytokines, but damages vascular endothelium by IL-6 signaling",5/12/2021
33972412,Just 2% of SARS-CoV-2-positive individuals carry 90% of the virus circulating in communities,5/12/2021
33972411,"COVID-19 induces lower levels of IL-8, IL-10, and MCP-1 than other acute CRS-inducing diseases",5/12/2021
33972410,2'-O methylation of RNA cap in SARS-CoV-2 captured by serial crystallography,5/12/2021
33972409,"Carceral-community epidemiology, structural racism, and COVID-19 disparities",5/12/2021
33972386,Lessons from the frontlines: a junior doctor's experience of the first wave of the COVID-19 pandemic in a resource-limited setting,5/12/2021
33972374,Cellular and Humoral Immune Responses in Mice Immunized with Vaccinia Virus Expressing the SARS-CoV-2 Spike Protein,5/12/2021
33972373,Conserved and Novel Mouse CD8 T Cell Epitopes within SARS-CoV-2 Spike Receptor Binding Domain Protein Identified following Subunit Vaccination,5/12/2021
33972366,Viral Proteases as Targets for COVID-19 Drug Development,5/12/2021
33972321,Response to Comment on Gregory et al. COVID-19 Severity Is Tripled in the Diabetes Community: A Prospective Analysis of the Pandemic's Impact in Type 1 and Type 2 Diabetes. Diabetes Care 2021;44:526-532,5/12/2021
33972320,Comment on Gregory et al. COVID-19 Severity Is Tripled in the Diabetes Community: A Prospective Analysis of the Pandemic's Impact in Type 1 and Type 2 Diabetes. Diabetes Care 2021;44:526-532,5/12/2021
33972285,Baptism by Fire: How the COVID-19 Pandemic Advanced North Carolina's Health IT Capabilities,5/12/2021
33972256,"Tolerability, Safety, Pharmacokinetics, and Immunogenicity of a Novel SARS-CoV-2 Neutralizing Antibody, Etesevimab in Chinese Healthy Adults: A Randomized, Double-Blind, Placebo-Controlled, First-In-Human Phase 1 Study",5/12/2021
33972145,Pulmonary cavitation in patients with COVID-19,5/12/2021
33972123,Disparities on the rebound in the emergency department in Taiwan during COVID-19 pandemic,5/12/2021
33972083,Perinatal outcomes of pregnancies resulting from assisted reproduction technology in SARS-CoV-2-infected women: a prospective observational study,5/12/2021
33972060,Is the BCG vaccine a useful tool against COVID-19?,5/12/2021
33972059,Prevention and occupational hazards for the skin during COVID-19 pandemic,5/12/2021
33972058,"COVID-19: The experience from Beijing, China",5/12/2021
33972057,Pediatric COVID toes and fingers,5/12/2021
33972056,Shedding light on therapeutics in alopecia and their relevance to COVID-19,5/12/2021
33972055,Management of primary cutaneous lymphomas during the COVID-19 pandemic,5/12/2021
33972054,Autoimmune connective tissue diseases in the COVID-19 pandemic,5/12/2021
33972053,Impact of the COVID-19 pandemic on the course and management of chronic inflammatory immune-mediated skin diseases: What's the evidence?,5/12/2021
33972052,Pandemics throughout the centuries,5/12/2021
33972051,Direct patient-to-physician teledermatology: Not a flash in the pan(demic),5/12/2021
33972050,Inspired by COVID-19 isolation: Evolving educational techniques in dermatology residency programs,5/12/2021
33972049,Rescuing medical education in times of COVID-19,5/12/2021
33972048,COVID-19: The experience from Iran,5/12/2021
33972047,Impact of COVID-19 pandemic on the management of cutaneous lymphomas,5/12/2021
33972046,A dermatologic perspective on multisystem inflammatory syndrome in children,5/12/2021
33972045,Clinicopathologic correlations of COVID-19-related cutaneous manifestations with special emphasis on histopathologic patterns,5/12/2021
33972039,COVID-19: The experience from Italy,5/12/2021
33972037,"What we have learned from the COVID-19 pandemic: Time to think outside the box, maybe far outside",5/12/2021
33972036,Conducting dermatology clinical trials during the COVID-19 pandemic,5/12/2021
33972035,The new pandemic COVID-19: I,5/12/2021
33971757,Creative IDEA: Introducing a Statewide Art Therapy in Prisons Program,5/12/2021
33971753,Use and Accuracy of Inpatient CGM During the COVID-19 Pandemic: An Observational Study of General Medicine and ICU Patients,5/12/2021
33971749,Telemedicine for management of patients with lung cancer during COVID-19 in an Italian cancer institute: SmartDoc Project,5/12/2021
33971677,Oxford-AstraZeneca ChAdOx1 COVID-19 Vaccine Does Not Alter Platelet Aggregation,5/11/2021
33971518,"Psychological impact of the COVID-19 pandemic on hospital workers over time: Relationship to occupational role, living with children and elders, and modifiable factors",5/11/2021
33971427,Classification of COVID-19 chest X-Ray and CT images using a type of dynamic CNN modification method,5/11/2021
33971362,Insights into Allergic Risk Factors from Birth Cohort Studies,5/11/2021
33971295,"Effect of Reducing Sedentary Behavior on Blood Pressure (RESET BP): Rationale, design, and methods",5/11/2021
33971283,A Simple HEPA Filtering Facepiece,5/11/2021
33971149,"""Family presence for critically ill patients during a pandemic""",5/11/2021
33971145,Low Risk of COVID-19 Infection Amongst Bronchoscopy Suite Personnel in a Hospital Without Pre-Procedural Outpatient Testing Mandate,5/11/2021
33971111,SARS-CoV-2 Infection is Associated with Reduced Krüppel-Like Factor 2 in Human Lung Autopsy,5/11/2021
33971101,In-Hospital Mortality in a Cohort of Hospitalized Pregnant and Nonpregnant Patients With COVID-19,5/11/2021
33971099,Factors Associated With Risk for Care Escalation Among Patients With COVID-19 Receiving Home-Based Hospital Care,5/11/2021
33971085,"The impact of COVID-19 on work, training and well-being experiences of nursing associates in England: A cross-sectional survey",5/11/2021
33971005,Déjà Vu - A New Coronavirus Challenge,5/11/2021
33970955,Predictors for inpatient mortality during the first wave of the SARS-CoV-2 pandemic: A retrospective analysis,5/11/2021
33970933,Attitudes on voluntary and mandatory vaccination against COVID-19: Evidence from Germany,5/11/2021
33970889,Developing Global Health Diplomacy-related Skills Using a COVID-19-like Epidemic Simulation as a Learning Strategy,5/11/2021
33970888,Seasonal Influenza Prevention and Control Progress in Latin America and the Caribbean in the Context of the Global Influenza Strategy and the COVID-19 Pandemic,5/11/2021
33970826,Genetic Variants of SARS-CoV-2: What do we know so far?,5/11/2021
33970824,Practical Changes in Reference Services: A Case Study,5/11/2021
33970820,Reference Revamp: A 1-2 Model for Training and Tiered Services,5/11/2021
33970787,Not so sweet and simple: impacts of SARS-CoV-2 on the β cell,5/11/2021
33970786,Changes in legislator vaccine-engagement on Twitter before and after the arrival of the COVID-19 pandemic,5/11/2021
33970675,Cardiovascular Evaluation After COVID-19 in 137 Collegiate Athletes: Results of an Algorithm-Guided Screening,5/11/2021
33970579,Do No Harm: Considerations for Pediatric Orthopaedic Practice During the Coronavirus Pandemic,5/11/2021
33970557,Subacute (De Quervain) thyroiditis during the COVID-19 pandemic,5/11/2021
33970270,"The Spread of COVID-19 Among 15,000 Physical Therapists in Italy: A Cross-Sectional Study",5/11/2021
33970252,The Role of Trauma in Mothers' COVID-19 Vaccine Beliefs and Intentions,5/11/2021
33970208,The Great Escape-A Physician Confronts Family Caregiving During the COVID-19 Pandemic,5/11/2021
33970085,"Time-varying Reproduction Numbers of COVID-19 in Georgia, USA, March 2, 2020 to November 20, 2020",5/11/2021
33970083,Changes in Emergency Department Patient Volume and Acuity Associated with Early Stages of the COVID-19 Pandemic in a Unique Environment,5/11/2021
33969909,Extracorporeal CO(2) removal and renal replacement therapy in acute severe respiratory failure in COVID-19 pneumonia: Case report,5/11/2021
33969768,Post-COVID-19: Trauma-Informed Care for the School Community,5/11/2021
33969726,Severe Sinus Bradycardia: An Unusual Cardiac Manifestation of COVID-19,5/11/2021
33969653,Dermatology practice in the times of the COVID-19 pandemic,5/11/2021
33969652,Selfie stick: The magic wand for social distancing during COVID-19 pandemic,5/11/2021
33969515,SARS-CoV-2 RNAaemia in children: an Iranian referral hospital-based study,5/11/2021
33969513,Coronavirus Disease 2019 (COVID-19): A Systematic Review of 133 Children Presented with Kawasaki-like Multisystem Inflammatory Syndrome,5/11/2021
33969504,SARS-CoV-2 B.1.1.7 REINFECTION AFTER PREVIOUS COVID-19 IN TWO IMMUNOCOMPETENT ITALIAN PATIENTS,5/11/2021
33969499,SARS-CoV-2 rapid antigen test: Fast-safe or dangerous? An analysis in the emergency department of an university hospital,5/11/2021
33967265,Progressive COVID-19-Associated Coagulopathy Despite Treatment with Therapeutic Anticoagulation and Thrombolysis,5/11/2021
33967243,Auditory Performance in Recovered SARS-COV-2 Patients,5/11/2021
33967234,2020 STD Prevention Conference: Disrupting Epidemics and Dismantling Disparities in the Time of COVID-19,5/11/2021
33967230,"Decreases in reported Sexually Transmitted Infections during the time of COVID-19 in King County, WA: Decreased transmission or screening?",5/11/2021
33967228,Safety and Antibody Kinetics of COVID-19 Convalescent Plasma for the Treatment of Moderate to Severe Cases of SARS-CoV-2 Infection in Pediatric Patients,5/11/2021
33967204,Functional Outcomes and Their Association With Physical Performance in Mechanically Ventilated Coronavirus Disease 2019 Survivors at 3 Months Following Hospital Discharge: A Cohort Study,5/11/2021
33967027,Pregnancy and delivery considerations during COVID-19,5/11/2021
33967026,Vaccine hesitance and vaccine access in minority communities,5/11/2021
33966995,The 5 Reasons Why People Die of Coronavirus Disease 2019,5/11/2021
33966962,Sex steroids and COVID-19 mortality in women,5/11/2021
33966879,Adapting to the COVID-19 Pandemic - From the 5th Annual Society of Asian Academic Surgeons Meeting,5/11/2021
33966856,Profile of co-infections & secondary infections in COVID-19 patients at a dedicated COVID-19 facility of a tertiary care Indian hospital: Implication on antimicrobial resistance,5/11/2021
33966804,Resilience to Combat the COVID-19 pandemic and beyond,5/11/2021
33966798,The psychological and social impacts on personal stress for residents quarantined for COVID-19 in Saudi Arabia,5/11/2021
33966797,"Psychiatric mental health nursing in the international year of the nurse and COVID-19: One hospital's perspective on resilience and innovation - Past, present and future",5/11/2021
33966684,"Recurrence of COVID-19, Future Paths and Challenges",5/11/2021
33966675,Temporal differences in culturable SARS-CoV-2 from the respiratory and gastro-intestinal tracts in a patient with moderate COVID-19,5/11/2021
33966666,"The barriers, benefits and training needs of clinicians delivering psychological therapy via video",5/11/2021
33966665,SARS-CoV-2 infection in asymptomatic vaccinated-healthcare workers,5/11/2021
33966664,The Utility of Paired Upper and Lower COVID-19 Sampling in Patients with Artificial Airways,5/11/2021
33966615,How did individuals on Instagram discuss COVID-19 in the month following official pandemic status? A examination of user content,5/11/2021
33966602,A DNA intercalating dye-based RT-qPCR alternative to diagnose SARS-CoV-2,5/11/2021
33966529,Union Efforts to Reduce COVID-19 Infections Among Grocery Store Workers,5/11/2021
33966528,Women Garment Workers Face Huge Inequities in Global Supply Chain Factories Made Worse by COVID-19,5/11/2021
33966492,"Ischemic Stroke, Inflammation, and Endotheliopathy in COVID-19 Patients",5/11/2021
33966477,"HIV viral load trends during the COVID-19 pandemic in a reference center for HIV in Rome, Italy",5/11/2021
33966471,Using Best Practices to Address COVID-19 Vaccine Hesitancy: The Case for the Motivational Interviewing Approach,5/11/2021
33966447,"First-Phase Ejection Fraction, a Measure of Preclinical Heart Failure, Is Strongly Associated With Increased Mortality in Patients With COVID-19",5/11/2021
33966371,Multichannel Immunosensor Platform for the Rapid Detection of SARS-CoV-2 and Influenza A(H1N1) Virus,5/11/2021
33966358,"Reply to letter re ""Outcomes of a COVID-19 Recovery Program for Patients Hospitalized with SARS-CoV-2 Infection in New York City: A Prospective Cohort Study.""",5/10/2021
33966355,BMI and pneumonia outcomes in critically ill COVID-19 patients: an international multicenter study,5/10/2021
33966309,Letter to Editor: Can we predict which COVID-19 patients will need transfer to the intensive care within 24 hours of floor admission?,5/10/2021
33966274,We stand ready … Blood collection organizations and the COVID-19 pandemic,5/10/2021
33966144,COVID-19 Adaptations for Health Service Psychology Internship Training in a Medical School,5/10/2021
33966048,Commentary: Intersectional perspectives on COVID-19 exposure,5/10/2021
33966023,Anti-SARS-CoV-2 T-cell Responses After mRNA Vaccination in Belatacept Treated Renal Transplant Patients,5/10/2021
33965993,"""Face mask contamination during COVID-19 pandemia. Study on patients receiving intravitreal injections""",5/10/2021
33965992,Neurologic Manifestations of COVID-19 in Children: Emerging Pathophysiologic Insights,5/10/2021
33965987,Coronavirus Disease 2019-Associated PICU Admissions: A Report From the Society of Critical Care Medicine Discovery Network Viral Infection and Respiratory Illness Universal Study Registry,5/10/2021
33965986,Altered Mental Status in Patients Hospitalized with COVID-19: Perspectives from Neurologic and Psychiatric Consultants,5/10/2021
33965981,COVID-19 crisis and minimally invasive surgery: a narrative review on intraoperative aerosol viral transmission and their impact on guidelines and clinical practice in Austria,5/10/2021
